feature,rf_impurity,perm_mean,perm_sd,rank_perm,rank_impurity
WC,0.3435077370404894,0.22629564465730395,0.008265604812042223,1,1
ARI,0.0690444523929703,0.015242256264484604,0.001017516456525759,2,5
NomR,0.13101704724917237,0.007699843191937387,0.0006967529340552524,3,2
FRE,0.08543143093645661,0.007419133868103119,0.00044107287614136284,4,4
MLS,0.03621780907202448,0.005194895352639039,0.0006118098276883639,5,8
MaxArcCross,0.042311979440422566,0.004837685491098894,0.0005867262404544901,6,7
TTR,0.09944582862239078,0.004795733984651659,0.0008056645059245234,7,3
MTLD,0.05236660639350571,0.003917464516639583,0.0006122179750797711,8,6
MCD,0.021745805502668848,0.0018247287957031974,0.0002802920112055053,9,11
LeftBR,0.022189173022776055,0.0015833458988794588,0.0002525156642482345,10,9
MeanArcCross,0.02216122216671094,0.0010980296726041284,0.0003175246724025056,11,10
DC/C,0.017014678769019406,0.0010931651889087106,0.00031108186304306014,12,12
MAL,0.015305709118776718,0.0007450249146165507,0.00025220216712619963,13,13
CT/T,0.009623030657723713,0.0005099621142564089,0.00018560923919434157,14,16
MaxAL,0.012638765361997617,0.0003620743452355487,0.00017407621633688076,15,15
MLC,0.013021786102557711,0.0003371298700200587,0.0001136375565482067,16,14
MaxCD,0.006956938150336879,0.0002452147663331239,9.17030296814529e-05,17,17
